date,time,PPFD_toa
2022/10/3,14:56:00,1133.0337958488512
2022/10/3,14:57:00,1126.4001634003705
2022/10/3,14:58:00,1119.7433930604145
2022/10/3,14:59:00,1113.0636115642963
2022/10/4,9:00:00,1442.2060830036085
2022/10/4,9:01:00,1447.3981527138512
2022/10/4,9:02:00,1452.560792393464
2022/10/4,9:03:00,1457.69390375323
2022/10/4,9:04:00,1462.7973890661062
2022/10/4,9:05:00,1467.8711511690906
2022/10/4,9:06:00,1472.9150934650659
2022/10/4,9:07:00,1477.9291199246388
2022/10/4,9:08:00,1482.9131350879766
2022/10/4,9:09:00,1487.8670440666137
2022/10/4,9:10:00,1492.790752545265
2022/10/4,9:11:00,1497.6841667836165
2022/10/4,9:12:00,1502.547193618116
2022/10/4,9:13:00,1507.3797404637442
2022/10/4,9:14:00,1512.18171531577
2022/10/4,9:15:00,1516.9530267515186
2022/10/4,9:16:00,1521.6935839320975
2022/10/4,9:17:00,1526.4032966041295
2022/10/4,9:18:00,1531.0820751014755
2022/10/4,9:19:00,1535.729830346938
2022/10/4,9:20:00,1540.3464738539553
2022/10/4,9:21:00,1544.9319177282894
2022/10/4,9:22:00,1549.4860746696986
2022/10/4,9:23:00,1554.0088579736023
2022/10/4,9:24:00,1558.5001815327228
2022/10/4,9:25:00,1562.9599598387347
2022/10/4,9:26:00,1567.3881079838886
2022/10/4,9:27:00,1571.7845416626249
2022/10/4,9:28:00,1576.1491771731858
2022/10/4,9:29:00,1580.4819314192007
2022/10/4,9:30:00,1584.7827219112748
2022/10/4,9:31:00,1589.0514667685572
2022/10/4,9:32:00,1593.2880847202998
2022/10/4,9:33:00,1597.492495107402
2022/10/4,9:34:00,1601.664617883951
2022/10/4,9:35:00,1605.8043736187453
2022/10/4,9:36:00,1609.9116834967997
2022/10/4,9:37:00,1613.986469320855
2022/10/4,9:38:00,1618.028653512865
2022/10/4,9:39:00,1622.0381591154692
2022/10/4,9:40:00,1626.0149097934586
2022/10/4,9:41:00,1629.9588298352337
2022/10/4,9:42:00,1633.8698441542429
2022/10/4,9:43:00,1637.7478782904104
2022/10/4,9:44:00,1641.592858411554
2022/10/4,9:45:00,1645.404711314798
2022/10/4,9:46:00,1649.183364427957
2022/10/4,9:47:00,1652.9287458109213
2022/10/4,9:48:00,1656.6407841570292
2022/10/4,9:49:00,1660.3194087944216
2022/10/4,9:50:00,1663.964549687388
2022/10/4,9:51:00,1667.5761374376987
2022/10/4,9:52:00,1671.15410328593
2022/10/4,9:53:00,1674.6983791127695
2022/10/4,9:54:00,1678.2088974403146
2022/10/4,9:55:00,1681.6855914333576
2022/10/4,9:56:00,1685.1283949006545
2022/10/4,9:57:00,1688.537242296191
2022/10/4,9:58:00,1691.9120687204277
2022/10/4,9:59:00,1695.2528099215308
2022/10/4,10:00:00,1698.5594022966059
2022/10/4,10:01:00,1701.8317828929003
2022/10/4,10:02:00,1705.0698894090049
2022/10/4,10:03:00,1708.2736601960378
2022/10/4,10:04:00,1711.4430342588223
2022/10/4,10:05:00,1714.577951257046
2022/10/4,10:06:00,1717.6783515064053
2022/10/4,10:07:00,1720.7441759797493
2022/10/4,10:08:00,1723.7753663082017
2022/10/4,10:09:00,1726.7718647822655
2022/10/4,10:10:00,1729.7336143529303
2022/10/4,10:11:00,1732.6605586327535
2022/10/4,10:12:00,1735.552641896935
2022/10/4,10:13:00,1738.4098090843784
2022/10/4,10:14:00,1741.2320057987374
2022/10/4,10:15:00,1744.0191783094574
2022/10/4,10:16:00,1746.7712735527896
2022/10/4,10:17:00,1749.4882391328076
2022/10/4,10:18:00,1752.1700233224044
2022/10/4,10:19:00,1754.8165750642736
2022/10/4,10:20:00,1757.4278439718857
2022/10/4,10:21:00,1760.0037803304444
2022/10/4,10:22:00,1762.5443350978333
2022/10/4,10:23:00,1765.0494599055542
2022/10/4,10:24:00,1767.51910705964
2022/10/4,10:25:00,1769.9532295415702
2022/10/4,10:26:00,1772.35178100916
2022/10/4,10:27:00,1774.714715797448
2022/10/4,10:28:00,1777.0419889195623
2022/10/4,10:29:00,1779.333556067575
2022/10/4,10:30:00,1781.589373613353
2022/10/4,10:31:00,1783.8093986093818
2022/10/4,10:32:00,1785.9935887895847
2022/10/4,10:33:00,1788.1419025701293
2022/10/4,10:34:00,1790.2542990502186
2022/10/4,10:35:00,1792.3307380128683
2022/10/4,10:36:00,1794.3711799256732
2022/10/4,10:37:00,1796.3755859415603
2022/10/4,10:38:00,1798.3439178995295
2022/10/4,10:39:00,1800.2761383253765
2022/10/4,10:40:00,1802.1722104324103
2022/10/4,10:41:00,1804.0320981221512
2022/10/4,10:42:00,1805.8557659850178
2022/10/4,10:43:00,1807.643179301004
2022/10/4,10:44:00,1809.394304040335
2022/10/4,10:45:00,1811.1091068641215
2022/10/4,10:46:00,1812.7875551249886
2022/10/4,10:47:00,1814.4296168677013
2022/10/4,10:48:00,1816.0352608297715
2022/10/4,10:49:00,1817.6044564420517
2022/10/4,10:50:00,1819.1371738293199
2022/10/4,10:51:00,1820.6333838108465
2022/10/4,10:52:00,1822.0930579009494
2022/10/4,10:53:00,1823.516168309539
2022/10/4,10:54:00,1824.902687942644
2022/10/4,10:55:00,1826.2525904029292
2022/10/4,10:56:00,1827.5658499901976
2022/10/4,10:57:00,1828.8424417018798
2022/10/4,10:58:00,1830.0823412335103
2022/10/4,10:59:00,1831.2855249791878
2022/10/4,11:00:00,1832.4519700320297
2022/10/4,11:01:00,1833.5816541846032
2022/10/4,11:02:00,1834.6745559293497
2022/10/4,11:03:00,1835.7306544589958
2022/10/4,11:04:00,1836.7499296669482
2022/10/4,11:05:00,1837.732362147676
2022/10/4,11:06:00,1838.6779331970806
2022/10/4,11:07:00,1839.586624812852
2022/10/4,11:08:00,1840.4584196948128
2022/10/4,11:09:00,1841.2933012452445
2022/10/4,11:10:00,1842.091253569205
2022/10/4,11:11:00,1842.8522614748335
2022/10/4,11:12:00,1843.576310473636
2022/10/4,11:13:00,1844.2633867807638
2022/10/4,11:14:00,1844.913477315273
2022/10/4,11:15:00,1845.526569700378
2022/10/4,11:16:00,1846.1026522636832
2022/10/4,11:17:00,1846.6417140374074
2022/10/4,11:18:00,1847.143744758591
2022/10/4,11:19:00,1847.6087348692931
2022/10/4,11:20:00,1848.036675516772
2022/10/4,11:21:00,1848.4275585536543
2022/10/4,11:22:00,1848.7813765380913
2022/10/4,11:23:00,1849.0981227338978
2022/10/4,11:24:00,1849.3777911106833
2022/10/4,11:25:00,1849.6203763439648
2022/10/4,11:26:00,1849.8258738152692
2022/10/4,11:27:00,1849.9942796122211
2022/10/4,11:28:00,1850.1255905286166
2022/10/4,11:29:00,1850.2198040644848
2022/10/4,11:30:00,1850.2769184261367
2022/10/4,11:31:00,1850.2969325261963
2022/10/4,11:32:00,1850.2798459836245
2022/10/4,11:33:00,1850.225659123724
2022/10/4,11:34:00,1850.134372978135
2022/10/4,11:35:00,1850.005989284814
2022/10/4,11:36:00,1849.8405104880012
2022/10/4,11:37:00,1849.6379397381747
2022/10/4,11:38:00,1849.3982808919893
2022/10/4,11:39:00,1849.1215385122036
2022/10/4,11:40:00,1848.8077178675946
2022/10/4,11:41:00,1848.4568249328545
2022/10/4,11:42:00,1848.0688663884787
2022/10/4,11:43:00,1847.643849620639
2022/10/4,11:44:00,1847.1817827210418
2022/10/4,11:45:00,1846.6826744867753
2022/10/4,11:46:00,1846.1465344201404
2022/10/4,11:47:00,1845.573372728471
2022/10/4,11:48:00,1844.9632003239396
2022/10/4,11:49:00,1844.3160288233496
2022/10/4,11:50:00,1843.631870547913
2022/10/4,11:51:00,1842.9107385230177
2022/10/4,11:52:00,1842.1526464779774
2022/10/4,11:53:00,1841.3576088457723
2022/10/4,11:54:00,1840.525640762773
2022/10/4,11:55:00,1839.656758068452
2022/10/4,11:56:00,1838.7509773050836
2022/10/4,11:57:00,1837.8083157174283
2022/10/4,11:58:00,1836.8287912524029
2022/10/4,11:59:00,1835.8124225587424
2022/10/4,12:00:00,1834.759228986641
2022/10/4,12:01:00,1833.669230587386
2022/10/4,12:02:00,1832.5424481129764
2022/10/4,12:03:00,1831.3789030157259
2022/10/4,12:04:00,1830.1786174478557
2022/10/4,12:05:00,1828.9416142610733
2022/10/4,12:06:00,1827.6679170061361
2022/10/4,12:07:00,1826.3575499324036
2022/10/4,12:08:00,1825.0105379873762
2022/10/4,12:09:00,1823.62690681622
2022/10/4,12:10:00,1822.2066827612778
2022/10/4,12:11:00,1820.749892861568
2022/10/4,12:12:00,1819.256564852271
2022/10/4,12:13:00,1817.726727164199
2022/10/4,12:14:00,1816.1604089232567
2022/10/4,12:15:00,1814.5576399498855
2022/10/4,12:16:00,1812.918450758496
2022/10/4,12:17:00,1811.2428725568882
2022/10/4,12:18:00,1809.5309372456552
2022/10/4,12:19:00,1807.7826774175783
2022/10/4,12:20:00,1805.9981263570037
2022/10/4,12:21:00,1804.1773180392117
2022/10/4,12:22:00,1802.3202871297683
2022/10/4,12:23:00,1800.4270689838645
2022/10/4,12:24:00,1798.497699645645
2022/10/4,12:25:00,1796.5322158475212
2022/10/4,12:26:00,1794.5306550094715
2022/10/4,12:27:00,1792.4930552383282
2022/10/4,12:28:00,1790.4194553270547
2022/10/4,12:29:00,1788.3098947540043
2022/10/4,12:30:00,1786.1644136821687
2022/10/4,12:31:00,1783.9830529584153
2022/10/4,12:32:00,1781.765854112708
2022/10/4,12:33:00,1779.5128593573165
2022/10/4,12:34:00,1777.2241115860138
2022/10/4,12:35:00,1774.899654373258
2022/10/4,12:36:00,1772.539531973364
2022/10/4,12:37:00,1770.1437893196598
2022/10/4,12:38:00,1767.7124720236322
2022/10/4,12:39:00,1765.2456263740585
2022/10/4,12:40:00,1762.7432993361235
2022/10/4,12:41:00,1760.2055385505269
2022/10/4,12:42:00,1757.6323923325765
2022/10/4,12:43:00,1755.023909671266
